Workflow_ID,Process_Name,Process_Step,Task_ID,Task_Type,Priority_Level,Department,Assigned_Employee_ID,Task_Start_Time,Task_End_Time,Estimated_Time_Minutes,Actual_Time_Minutes,Delay_Flag,Delay_Minutes,Approval_Level,Employee_Workload,Cost_Per_Task
WF_1,Customer Complaint,3,TASK_1,Review,Low,Customer Service,EMP_128,1/25/2024 4:47,1/25/2024 8:33,208,226,1,18,Level 1,1,$155.17
WF_2,HR Onboarding,4,TASK_2,Approval,Low,HR,EMP_35,5/24/2024 2:57,5/24/2024 6:19,194,202,1,8,Level 2,5,$231.54
WF_3,Invoice Approval,3,TASK_3,Review,High,Finance,EMP_88,3/22/2024 3:34,3/22/2024 8:51,214,317,1,103,Level 1,8,$280.95
WF_4,Customer Complaint,3,TASK_4,Review,Medium,Operations,EMP_133,6/10/2024 10:37,6/10/2024 13:36,176,179,1,3,Level 3,1,$413.74
WF_5,Customer Complaint,5,TASK_5,Escalation,Medium,Finance,EMP_80,7/2/2024 11:38,7/2/2024 15:36,197,238,1,41,Level 3,3,$152.30
WF_6,Customer Complaint,2,TASK_6,Validation,Low,Operations,EMP_61,5/23/2024 11:14,5/23/2024 15:01,199,227,1,28,Level 2,5,$160.06
WF_7,Purchase Order,5,TASK_7,Escalation,Medium,Customer Service,EMP_55,6/27/2024 21:21,6/27/2024 23:14,84,113,1,29,Level 3,6,$440.88
WF_8,Purchase Order,1,TASK_8,Data Entry,Low,IT,EMP_42,8/13/2024 7:44,8/13/2024 11:45,204,241,1,37,Level 1,4,$406.61
WF_9,Purchase Order,5,TASK_9,Escalation,Low,Customer Service,EMP_21,12/27/2024 21:26,12/28/2024 0:22,59,176,1,117,Level 3,2,$180.92
WF_10,IT Support Ticket,4,TASK_10,Approval,High,Operations,EMP_2,6/17/2024 1:14,6/17/2024 2:37,23,83,1,60,Level 3,1,$313.09
WF_11,Customer Complaint,4,TASK_11,Approval,Medium,Finance,EMP_140,7/15/2024 1:41,7/15/2024 5:45,235,244,1,9,Level 2,9,$290.34
WF_12,HR Onboarding,4,TASK_12,Approval,Medium,Finance,EMP_133,4/19/2024 21:58,4/20/2024 0:48,167,170,1,3,Level 1,3,$428.89
WF_13,IT Support Ticket,5,TASK_13,Escalation,Medium,HR,EMP_22,3/19/2024 8:52,3/19/2024 10:57,103,125,1,22,Level 1,5,$386.51
WF_14,HR Onboarding,5,TASK_14,Escalation,Low,HR,EMP_102,3/29/2024 3:06,3/29/2024 8:52,229,346,1,117,Level 2,3,$138.07
WF_15,Purchase Order,5,TASK_15,Escalation,Medium,Operations,EMP_51,12/4/2024 21:57,12/5/2024 1:18,133,201,1,68,Level 1,10,$144.80
WF_16,Invoice Approval,3,TASK_16,Review,High,IT,EMP_143,10/22/2024 0:16,10/22/2024 2:35,65,139,1,74,Level 2,4,$487.35
